iter	MultiClass
0	4.34693129
1	4.302953197
2	4.263086047
3	4.217389053
4	4.188760526
5	4.152621475
6	4.121136482
7	4.093943515
8	4.05619658
9	4.025588644
10	3.996748041
11	3.964360151
12	3.931417313
13	3.901759976
14	3.871689537
15	3.842518807
16	3.816653665
17	3.783634495
18	3.75958758
19	3.73550941
20	3.708916411
21	3.685162848
22	3.657839776
23	3.633607753
24	3.609526372
25	3.581818045
26	3.560586258
27	3.533982158
28	3.511665146
29	3.489313439
30	3.469228215
31	3.447878579
32	3.425102666
33	3.396633776
34	3.371520789
35	3.350243035
36	3.330509527
37	3.310258877
38	3.290623125
39	3.268782909
40	3.248949499
41	3.23162358
42	3.214108523
43	3.191665941
44	3.172007156
45	3.156781859
46	3.138899984
47	3.122944786
48	3.107173579
49	3.091595081
50	3.073480468
51	3.057002998
52	3.041298564
53	3.023875701
54	3.00690461
55	2.992390928
56	2.975063734
57	2.95858776
58	2.942742166
59	2.930795256
60	2.916307067
61	2.898988271
62	2.885537278
63	2.869123437
64	2.854388564
65	2.839623589
66	2.824564726
67	2.811873836
68	2.801362833
69	2.789409833
70	2.77473634
71	2.759433407
72	2.74874295
73	2.733721463
74	2.720429397
75	2.704425469
76	2.690204415
77	2.675369441
78	2.6639513
79	2.650118242
80	2.636676422
81	2.624449442
82	2.614250824
83	2.600653847
84	2.586932293
85	2.574587827
86	2.563921665
87	2.551435677
88	2.538734796
89	2.526548633
90	2.517658086
91	2.50669404
92	2.498599137
93	2.485325374
94	2.474743617
95	2.464285199
96	2.454117985
97	2.441558593
98	2.432974198
99	2.422335339
100	2.412990069
101	2.405200852
102	2.39242812
103	2.383776915
104	2.377574972
105	2.36890188
106	2.360718105
107	2.352484201
108	2.342454018
109	2.333582358
110	2.323712243
111	2.313156028
112	2.30390354
113	2.296824177
114	2.288900301
115	2.280040609
116	2.270215665
117	2.2624253
118	2.251720335
119	2.241576538
120	2.232771891
121	2.224958219
122	2.214511987
123	2.206289217
124	2.198043826
125	2.189461354
126	2.180279431
127	2.170169945
128	2.162265478
129	2.156441996
130	2.149285567
131	2.141532813
132	2.13433833
133	2.126562005
134	2.118949076
135	2.112792744
136	2.106845725
137	2.099234693
138	2.091112084
139	2.081337675
140	2.075215965
141	2.066700072
142	2.059530146
143	2.051698757
144	2.045871932
145	2.041458723
146	2.036591198
147	2.030601748
148	2.024250994
149	2.017851232
150	2.012033299
151	2.005422104
152	1.998874444
153	1.991867166
154	1.984315948
155	1.976970187
156	1.968917322
157	1.963251964
158	1.956862483
159	1.951402142
160	1.943193163
161	1.937030128
162	1.929529983
163	1.923756842
164	1.918382198
165	1.913676982
166	1.906683647
167	1.900132287
168	1.895064698
169	1.888499442
170	1.883283989
171	1.87604983
172	1.869836481
173	1.868198344
174	1.863158744
175	1.858541004
176	1.852493645
177	1.845899749
178	1.838615704
179	1.832980295
180	1.827708636
181	1.82356045
182	1.818129969
183	1.810703816
184	1.806904758
185	1.802238463
186	1.796484313
187	1.792530296
188	1.785548549
189	1.782324146
190	1.774946656
191	1.769193537
192	1.762485795
193	1.757729141
194	1.753559684
195	1.752194609
196	1.747834024
197	1.741455711
198	1.735492975
199	1.729201021
200	1.725721552
201	1.71988663
202	1.715942098
203	1.711444372
204	1.706573553
205	1.702254019
206	1.695744943
207	1.689314005
208	1.68747941
209	1.682393526
210	1.678100362
211	1.672236139
212	1.666436614
213	1.661130003
214	1.656075062
215	1.649963862
216	1.647184806
217	1.641733974
218	1.636327679
219	1.632818388
220	1.62790819
221	1.622931054
222	1.619236654
223	1.614670444
224	1.610167593
225	1.605513499
226	1.601504483
227	1.597734238
228	1.593145769
229	1.5893625
230	1.585133333
231	1.579396726
232	1.575517589
233	1.571259368
234	1.566745328
235	1.563600433
236	1.560986994
237	1.556370165
238	1.552642712
239	1.550936932
240	1.547192908
241	1.543570923
242	1.538976612
243	1.533177511
244	1.52903512
245	1.523408093
246	1.519044213
247	1.513596794
248	1.509771997
249	1.50598707
250	1.501682943
251	1.497798226
252	1.493141204
253	1.488247097
254	1.484837837
255	1.479948745
256	1.474557993
257	1.469958858
258	1.46808084
259	1.462993751
260	1.459823561
261	1.457672659
262	1.453266499
263	1.450117636
264	1.447581475
265	1.444631839
266	1.4397546
267	1.437374417
268	1.433761137
269	1.430255983
270	1.42621132
271	1.4237491
272	1.419188615
273	1.415386766
274	1.411181654
275	1.408149956
276	1.404481342
277	1.400768973
278	1.396153163
279	1.393441708
280	1.39136904
281	1.387741416
282	1.384575831
283	1.381716403
284	1.37920984
285	1.375716255
286	1.373230219
287	1.369529576
288	1.36621066
289	1.363389847
290	1.359811771
291	1.3555182
292	1.351422851
293	1.34690386
294	1.34223227
295	1.338721074
296	1.335622248
297	1.332146928
298	1.329989936
299	1.32664208
300	1.32266515
301	1.31957888
302	1.317263672
303	1.314011144
304	1.310498532
305	1.307179009
306	1.303928756
307	1.30092062
308	1.296867495
309	1.293631234
310	1.290466345
311	1.286734011
312	1.282746565
313	1.280082984
314	1.276968336
315	1.274722056
316	1.271570774
317	1.267946851
318	1.265644833
319	1.261863156
320	1.259031835
321	1.257258511
322	1.254074568
323	1.250825466
324	1.247355321
325	1.243067789
326	1.241117915
327	1.237087273
328	1.235937108
329	1.232626626
330	1.229011407
331	1.225190892
332	1.221110497
333	1.217544428
334	1.215478036
335	1.21350713
336	1.210683814
337	1.207801519
338	1.204596365
339	1.202499078
340	1.199782083
341	1.19710786
342	1.193944039
343	1.191030123
344	1.189354804
345	1.185998903
